2024-08-26 10:32:06 INFO  Keywords:104 - Navigate is called
2024-08-26 10:32:12 INFO  Keywords:130 - InputText is called
2024-08-26 10:32:12 INFO  Keywords:301 - Waiting for webElement...gateway.username
2024-08-26 10:32:12 INFO  Keywords:305 - Element found...gateway.username
2024-08-26 10:32:12 INFO  Keywords:130 - InputText is called
2024-08-26 10:32:12 INFO  Keywords:301 - Waiting for webElement...gateway.password
2024-08-26 10:32:12 INFO  Keywords:305 - Element found...gateway.password
2024-08-26 10:32:12 INFO  Keywords:141 - ClickOnLink is called
2024-08-26 10:32:12 INFO  Keywords:301 - Waiting for webElement...gateway.login
2024-08-26 10:32:12 INFO  Keywords:305 - Element found...gateway.login
2024-08-26 10:32:49 INFO  Keywords:141 - ClickOnLink is called
2024-08-26 10:32:49 INFO  Keywords:301 - Waiting for webElement...postsamldata
2024-08-26 10:32:49 INFO  Keywords:305 - Element found...postsamldata
2024-08-26 10:33:06 INFO  Keywords:141 - ClickOnLink is called
2024-08-26 10:33:06 INFO  Keywords:301 - Waiting for webElement...next
2024-08-26 10:33:06 INFO  Keywords:305 - Element found...next
2024-08-26 10:33:24 INFO  Keywords:130 - InputText is called
2024-08-26 10:33:24 INFO  Keywords:301 - Waiting for webElement...policyConfiguration.insuranceamount
2024-08-26 10:33:24 INFO  Keywords:305 - Element found...policyConfiguration.insuranceamount
2024-08-26 10:33:24 INFO  Keywords:301 - Waiting for webElement...policyConfiguration.LTC
2024-08-26 10:33:34 INFO  Keywords:301 - Waiting for webElement...policyConfiguration.payors
2024-08-26 10:33:34 INFO  Keywords:305 - Element found...policyConfiguration.payors
2024-08-26 10:33:34 INFO  Keywords:301 - Waiting for webElement...policyConfiguration.purposeofpolicy
2024-08-26 10:33:34 INFO  Keywords:305 - Element found...policyConfiguration.purposeofpolicy
2024-08-26 10:33:35 INFO  Keywords:141 - ClickOnLink is called
2024-08-26 10:33:35 INFO  Keywords:301 - Waiting for webElement...next
2024-08-26 10:33:35 INFO  Keywords:305 - Element found...next
2024-08-26 10:33:52 INFO  Keywords:301 - Waiting for webElement...primaryinsured.birthcountry
2024-08-26 10:34:02 INFO  Keywords:301 - Waiting for webElement...primaryinsured.birthstate
2024-08-26 10:34:13 INFO  Keywords:130 - InputText is called
2024-08-26 10:34:13 INFO  Keywords:301 - Waiting for webElement...primaryinsured.birthcity
2024-08-26 10:34:23 INFO  Keywords:301 - Waiting for webElement...primaryinsured.drivinglicense
2024-08-26 10:34:33 INFO  Keywords:130 - InputText is called
2024-08-26 10:34:33 INFO  Keywords:301 - Waiting for webElement...primaryinsured.dlnumber
2024-08-26 10:34:59 INFO  Keywords:301 - Waiting for webElement...primaryinsured.dlissuestateAL
2024-08-26 10:35:09 INFO  Keywords:141 - ClickOnLink is called
2024-08-26 10:35:09 INFO  Keywords:301 - Waiting for webElement...next
2024-08-26 10:35:09 INFO  Keywords:305 - Element found...next
2024-08-26 10:35:09 INFO  Keywords:130 - InputText is called
2024-08-26 10:35:09 INFO  Keywords:301 - Waiting for webElement...TrustOther
2024-08-26 10:35:35 INFO  Keywords:301 - Waiting for webElement...TrustIrres
