2023-12-21 14:44:54 INFO  Keywords:97 - Navigate is called
2023-12-21 14:44:58 INFO  Keywords:125 - InputText is called
2023-12-21 14:44:58 INFO  Keywords:286 - Waiting for webElement...gateway.username
2023-12-21 14:44:58 INFO  Keywords:289 - Element found...gateway.username
2023-12-21 14:44:58 INFO  Keywords:125 - InputText is called
2023-12-21 14:44:58 INFO  Keywords:286 - Waiting for webElement...gateway.password
2023-12-21 14:44:58 INFO  Keywords:289 - Element found...gateway.password
2023-12-21 14:44:58 INFO  Keywords:138 - ClickOnLink is called
2023-12-21 14:44:58 INFO  Keywords:286 - Waiting for webElement...gateway.login
2023-12-21 14:44:58 INFO  Keywords:289 - Element found...gateway.login
2023-12-21 14:45:46 INFO  Keywords:138 - ClickOnLink is called
2023-12-21 14:45:46 INFO  Keywords:286 - Waiting for webElement...postsamldata
2023-12-21 14:45:46 INFO  Keywords:289 - Element found...postsamldata
2023-12-21 14:46:06 INFO  Keywords:138 - ClickOnLink is called
2023-12-21 14:46:06 INFO  Keywords:286 - Waiting for webElement...next
2023-12-21 14:46:06 INFO  Keywords:289 - Element found...next
2023-12-21 14:46:33 INFO  Keywords:125 - InputText is called
2023-12-21 14:46:33 INFO  Keywords:286 - Waiting for webElement...policyConfiguration.insuranceamount
2023-12-21 14:46:33 INFO  Keywords:289 - Element found...policyConfiguration.insuranceamount
2023-12-21 14:46:33 INFO  Keywords:286 - Waiting for webElement...policyConfiguration.LTC
2023-12-21 14:46:33 INFO  Keywords:289 - Element found...policyConfiguration.LTC
2023-12-21 14:46:33 INFO  Keywords:286 - Waiting for webElement...policyConfiguration.payors
2023-12-21 14:46:33 INFO  Keywords:289 - Element found...policyConfiguration.payors
2023-12-21 14:46:34 INFO  Keywords:286 - Waiting for webElement...policyConfiguration.purposeofpolicy
2023-12-21 14:46:34 INFO  Keywords:289 - Element found...policyConfiguration.purposeofpolicy
2023-12-21 14:46:34 INFO  Keywords:138 - ClickOnLink is called
2023-12-21 14:46:34 INFO  Keywords:286 - Waiting for webElement...next
2023-12-21 14:46:34 INFO  Keywords:289 - Element found...next
2023-12-21 14:47:00 INFO  Keywords:286 - Waiting for webElement...primaryinsured.birthcountry
2023-12-21 14:47:10 INFO  Keywords:286 - Waiting for webElement...primaryinsured.birthstate
2023-12-21 14:47:20 INFO  Keywords:125 - InputText is called
2023-12-21 14:47:20 INFO  Keywords:286 - Waiting for webElement...primaryinsured.birthcity
2023-12-21 14:47:30 INFO  Keywords:138 - ClickOnLink is called
2023-12-21 14:47:30 INFO  Keywords:286 - Waiting for webElement...next
2023-12-21 14:47:30 INFO  Keywords:289 - Element found...next
2023-12-21 14:47:50 INFO  Keywords:138 - ClickOnLink is called
2023-12-21 14:47:50 INFO  Keywords:286 - Waiting for webElement...next
2023-12-21 14:47:50 INFO  Keywords:289 - Element found...next
2023-12-21 14:48:20 INFO  Keywords:286 - Waiting for webElement...jointInsured.birthCountry
2023-12-21 14:48:30 INFO  Keywords:286 - Waiting for webElement...jointInsured.birthState
2023-12-21 14:48:40 INFO  Keywords:125 - InputText is called
2023-12-21 14:48:40 INFO  Keywords:286 - Waiting for webElement...jointInsured.birthCity
2023-12-21 14:48:50 INFO  Keywords:138 - ClickOnLink is called
2023-12-21 14:48:50 INFO  Keywords:286 - Waiting for webElement...next
2023-12-21 14:48:50 INFO  Keywords:289 - Element found...next
2023-12-21 14:49:19 INFO  Keywords:286 - Waiting for webElement...naturalOwner.relationwithInsured
2023-12-21 14:49:29 INFO  Keywords:286 - Waiting for webElement...naturalOwner.relationwithJointInsured
